Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas234             Pavarde234                      5         2         2         6         4         5         7        10         1         9         3         9         6         1         9         7
Vardas235             Pavarde235                      1         9         5         6         9         8         8         3         1         8         1         5         3         2         6         9
Vardas236             Pavarde236                      6        10         2         1         3         2         4         3         3         7         5         5         4         1         4         9
Vardas237             Pavarde237                      3         9         3         8        10         1         2        10         4         5         3         2         8         3         9         8
Vardas238             Pavarde238                      7         8         2         9         3         9        10         8         6         6         6        10         2         8         6         2
Vardas239             Pavarde239                      1        10         7         2         9         3         8         1        10         8         1         3        10         4         2         7
Vardas240             Pavarde240                      8         1         4         4         5        10         4         8         1         4         9         8        10        10         7         3
Vardas241             Pavarde241                      2         6         6         1         4         9         7         8         3         1        10         4         6         4        10        10
Vardas242             Pavarde242                      8         8         7         3         3         1        10         4         8         9         5        10         9         9         2         2
Vardas243             Pavarde243                     10         7         9         7         2        10         6         7        10        10         8         1         2         5         8        10
Vardas244             Pavarde244                      5         5         1         3         4         9         1         9         3         4         4         5        10         6         9         3
Vardas245             Pavarde245                      9         9         5         6         4         9        10         7         4         7        10         2         9         4         2         4
Vardas246             Pavarde246                      9         9         5         4         3         9         8         3         7         8         9         5         2         6         7         4
Vardas247             Pavarde247                      6         4         4         8         5         4         8         7         7         2         1         5         8         7         7         8
Vardas248             Pavarde248                     10         6         1         9         6         4         9         2         3         5         5         8         1        10         7         3
Vardas249             Pavarde249                      7         1         9         5         4        10        10         5         7         9         7         6         2         2         5         7
Vardas250             Pavarde250                     10         4         4         1         5         9         7         2         6         3         8         5         3         3         1        10
Vardas251             Pavarde251                      1         9         7         1         7         2         4         1         1         7         4         7         3         9         1         3
Vardas252             Pavarde252                      7         2        10         5         8         8         7         2         5         3         6         7        10         1        10         6
Vardas253             Pavarde253                      6         3         9         7         3         9         7         5         2         8         4         3         7         5         2         2
Vardas254             Pavarde254                     10         8         7         7         4         1         9         1         8         8         1         4         3         9         3         7
Vardas255             Pavarde255                      9        10         3         1         8         5         6         6        10         1         4        10        10         7         4         1
Vardas256             Pavarde256                      3         8         7         2         7         8         8         1         8        10         9         5         6         2         9         7
Vardas257             Pavarde257                     10         5         6         6         1         7         3         1         2         4         4         1         9         1         3         7
Vardas258             Pavarde258                      7         3         7        10         6         5         7         5         8         1         3         8         6         2         3         8
Vardas259             Pavarde259                      5         3         7         4         2         8         3         8         9         7         7        10         8         6        10         7
Vardas260             Pavarde260                     10         7         3        10         7         3         6         5         1         6        10         1        10         1         4         8
Vardas261             Pavarde261                      2         4        10         7         6         7         7         7         8         4         2        10         5         2         7        10
Vardas262             Pavarde262                      3         8         7         2         2        10         5         8         4         4         9         8         6         4         5        10
Vardas263             Pavarde263                      8         3         7        10         5        10         5         5         2         2         3         9         1         4         3         1
Vardas264             Pavarde264                      6         2        10         5         4         3         7         6         4         3         7         2         1         3         4         4
Vardas265             Pavarde265                      6         1         2        10         8         8         9         8         7         4         8        10         4         4        10         5
Vardas266             Pavarde266                      7        10         1         6        10         2         6         7         5         4         8         5         7         8         8         5
Vardas267             Pavarde267                      9        10         5         9         3         8         1         4        10         6         3         8         1         1        10        10
Vardas268             Pavarde268                      4         9         8         6         5         5         1         1         4         5         1         5         3         2         1         5
Vardas269             Pavarde269                     10        10         7         4         1         2         2         1         2         8         9         5         6         1         3         1
Vardas270             Pavarde270                      3         5         2         4         2         7         9         7         9         3        10         5         4         1         7        10
Vardas271             Pavarde271                      8         1         6         9         5         2         2         8         8         5         1         9         7        10         7        10
Vardas272             Pavarde272                      4         6         2         9         5         4        10        10         5         7         5         9         2        10         7         9
Vardas273             Pavarde273                      8         7         7         4         6         7         6         2         3         6         2         7         3         7        10         2
Vardas274             Pavarde274                      4         8         4         8         3         9         1         1         2         4         1         7         4        10         6         5
Vardas275             Pavarde275                      1         2         7        10         4         9         7         8        10         9         8         4         2         9         3         7
Vardas276             Pavarde276                      5         4         6         5        10         3         4         9         3         2         6         2         3         6         4         7
Vardas277             Pavarde277                      9         6         5         4         5         8         2         8         9        10         6        10         3         6         5         7
Vardas278             Pavarde278                      7         4         4         3         6         1         1         4         6         7         8         7         5         2         8         2
Vardas279             Pavarde279                      9         4         3         1         5        10         3         3         5        10         6         6         8         9         6        10
Vardas280             Pavarde280                      5         5         4         1         8         5        10        10         2         1         9         3         2         8         6         2
Vardas281             Pavarde281                      5         6         2         4         3         9         1         9         8         4        10         5         1         2         5         9
Vardas282             Pavarde282                      3         2         9         6         1         5         6         2         5         4         8         9         5         4         9         7
Vardas283             Pavarde283                      6         9         4         4        10         6         6         2         9         3         7         6         8        10         2        10
Vardas284             Pavarde284                      6         9         9         4         8         1        10         6         4         9         8         9         3         8         4         2
Vardas285             Pavarde285                      3         2        10         8        10        10         2         9         5         7         7         7         2         5         5         8
Vardas286             Pavarde286                      7         9         3         5         6         6         1        10         7         3         6         6         5         4         6         2
Vardas287             Pavarde287                      6         5         7        10         5        10         3         9         4         7         7        10        10         9         6         3
Vardas288             Pavarde288                      5         5         5         6         1         8         7         3         4         9         2         8         2         5         6         7
Vardas289             Pavarde289                      9         8         1         4        10         1         6         1        10         5         3         6         4         6         4         9
Vardas290             Pavarde290                      3         1         2         7        10        10         4         2         8         4         4         5         8        10         7         3
Vardas291             Pavarde291                      7         7         3        10         7         2         3         3         8         7         3         2        10         1         6         2
Vardas292             Pavarde292                      4         6         2         7        10         2         2         9         3        10         7         4         9        10         3         2
Vardas293             Pavarde293                      1         9         7         5         3         2         6         3         9         5        10         9         9         2         8         7
Vardas294             Pavarde294                      4         4         1         8         6         4         8         8         9         1         5         1        10         5         9         9
Vardas295             Pavarde295                      7         6         3        10         1         7         3         2         6         7         6        10         6         9         5         1
Vardas296             Pavarde296                      3         4         8         5         7         3         6         3         3         3         4         8         1         1         6         5
Vardas297             Pavarde297                      6         2         9         5         7         7         1         4         6         4         4         6         7         6         8         4
Vardas298             Pavarde298                      8         7         2         7         3         9        10         9        10         7         3         1         8         8        10         3
Vardas299             Pavarde299                      1         7         6         9         6         9         9         1         3         4         1         3         8         1         5         8
Vardas300             Pavarde300                      7         8         8         2         4        10         4         9        10         8         1         5         1        10         1         4
Vardas301             Pavarde301                      4         4         1         7         5         8         6         5        10         8         5        10         7        10         1         4
Vardas302             Pavarde302                     10        10         7         7         6         2         1         8         2         8         8         1         8         1         9         7
Vardas303             Pavarde303                      3         9         7         3         5        10         5         8         2         8         7         3         6         1         5         3
Vardas304             Pavarde304                      3        10         9         3         7         1         4        10         7        10         4         1         4         9         8         1
Vardas305             Pavarde305                     10         5         4         3         2         4         8         5         1         8         2         7         2        10         4         4
Vardas306             Pavarde306                      3         3         3         2         9         3         4         5         9         8        10         5         7         5         5         8
Vardas307             Pavarde307                      1        10         2         9         4        10         5         8         3         9         7        10         4         1         2         1
Vardas308             Pavarde308                      3         9         2         4         6         9        10         4         9         7        10         3         7        10        10         9
Vardas309             Pavarde309                      7         3         2         8         5         8         9        10         3         2         7         4         4         1         9        10
Vardas310             Pavarde310                      4         6         7        10         1         6         4         5         8         9         8         4         8         7         7        10
Vardas311             Pavarde311                      7         1         1         3         3         6         9        10         7         2         2         1         7         6         3         5
Vardas312             Pavarde312                      9        10         7         5        10         2         4         9         1         3         1         6         2        10         1         7
Vardas313             Pavarde313                      2         7         1         2         2         9         3         8         7         4         7         8         4         2         7         6
Vardas314             Pavarde314                      1         5         7         4         8         1         6         7         3         9         8        10         2        10         3         7
Vardas315             Pavarde315                      2         7         3         1         8         2        10         4         6         7        10         7        10         4         5         8
Vardas316             Pavarde316                     10         2         1         6         8         5         9        10         8         7         6         2         2         5         8         1
Vardas317             Pavarde317                      9         3         9         2         8         2         4         4         7         8         1         6         9         4         7        10
Vardas318             Pavarde318                      7         2         1         4         6         9         9         2         4         8         7         5         6         7        10         4
Vardas319             Pavarde319                      1         4         2         8         5         7         5         3         4        10         2         2         8         3         7         5
Vardas320             Pavarde320                      8         7         8         3         2         1        10         5         9         6        10         3         4         6         5         4
Vardas321             Pavarde321                      5         2         9         2         1         4         1         3         2         4         6         6         2         8         5         4
Vardas322             Pavarde322                      2         5         9         3         4         1         1         1         7         5         3         4         4         6         1         5
Vardas323             Pavarde323                      2         2         1         1         4         6         3        10         7         8         2         6         2         3         7         6
Vardas324             Pavarde324                      2         5         3         1         4         1        10         9         6         7         5        10         7        10         1         9
Vardas325             Pavarde325                     10         9         6         9         3        10         2         2         7         3         1         6         1         1        10         7
Vardas326             Pavarde326                      6        10         2        10         5         8         3         9         6         6         4         6         2         7         9         9
Vardas327             Pavarde327                      1         1         4         9         7         6         1         7         6         9         2         2        10         8         8         4
Vardas328             Pavarde328                      1        10         3         2         2         6         8         8         3         9         7        10         1         7         5         5
Vardas329             Pavarde329                     10         4         2         5         5         5         1         7         5         8         8         2         8         5         9         8
Vardas330             Pavarde330                      1         3         3         1         1         8         6         7         6        10         6         2         4         2         7        10
Vardas331             Pavarde331                      6         8         8         6         5         3         2         9         6         7         3         2        10         1         5         6
Vardas332             Pavarde332                      2         7         1         1         6         1         6         3         7         6         9         6        10         8         3         6
Vardas333             Pavarde333                     10         9         8         8         8         5         1        10         6         9         5         4         6         7         6         4
Vardas334             Pavarde334                     10         7         4         6         8         4         3         7         6        10         4         3         5         7         5         2
Vardas335             Pavarde335                      5         1         8         6         4         2         2         5         4         6         3         5         6         9        10         1
Vardas336             Pavarde336                      6         1         1         2         4         9         6        10         1         2         5         3         3         2         4         8
Vardas337             Pavarde337                      6         1         7        10         1         6         3         5         6         7         3         4         7         7         9         3
Vardas338             Pavarde338                      2         7         1         5         6         7         3         6         3         1         1         8         8        10         4        10
Vardas339             Pavarde339                      4        10         5         2         6         6         2         4        10         9        10         9         9         9         7         4
Vardas340             Pavarde340                      2         4         9         9         3         2        10        10         9        10         3         3         2         2         7        10
Vardas341             Pavarde341                      7         3         4         8         3         1         8         7         2        10         8         1         6         4         1         6
Vardas342             Pavarde342                      3         6         3         8         2         9         1         7         2        10         1         5         7         2         2         7
Vardas343             Pavarde343                      3         2         1         4         8         5        10         2         5         2         3         4         1         1         7         1
Vardas344             Pavarde344                      1         1         9         6         4         9         2         5         1         2         9         3         1         9         6        10
Vardas345             Pavarde345                      8         2         9         4         8        10         4        10         4         4         4         1         8         5         9         3
Vardas346             Pavarde346                      8         8         1         5         2         5        10         6         2         4         6         4         2         7         7         5
Vardas347             Pavarde347                      7         7         3         9         3         2         3         9         9         2         6         8         1         6         7         5
Vardas348             Pavarde348                      3         9         6         4         8         8         9        10         8         1         9         2         6         4        10        10
Vardas349             Pavarde349                      7         4         5         1         7         7        10        10         7         3        10         5         5        10         9         6
Vardas350             Pavarde350                      8         6         6         2         1        10         4         9         7         9         6         1         3         5         6         3
Vardas351             Pavarde351                      1         1         8        10         4         5         2        10         9         8         6         7         3         2         6         6
Vardas352             Pavarde352                      6         3         1         7         6         3         6         6         4        10        10         9         7         1         7         7
Vardas353             Pavarde353                      9         9         1         2         6         3         5        10        10         3         1         6         5         6         7         9
Vardas354             Pavarde354                      4         1         3         6         2         7         4         2         9         3         5         7         6         8         1         2
Vardas355             Pavarde355                      4         7         4         7         4         2        10         9         6         7         8         4         3         3         4         6
Vardas356             Pavarde356                      5         7        10         7         4         3         1         8         7         5         4         7         3        10         4         1
Vardas357             Pavarde357                      7         6         9         5         2         4         3        10         3         4         6         8         9         3         9         4
Vardas358             Pavarde358                      3         2         7         1         4         3         3         6         3         8         8         1         7        10        10         5
Vardas359             Pavarde359                      5         9         8         7         8         6         8         1         5        10         6         3        10         8         3        10
Vardas360             Pavarde360                      4         2         4         5         1         8        10         8         6         2         9        10         2         1         8         3
Vardas361             Pavarde361                      5         8         6         2         8         7         4        10         5        10         2         5         1         3         4         9
Vardas362             Pavarde362                      7         8         1        10         2         7        10         2         3         1         4         2         1         8         1         4
Vardas363             Pavarde363                      7         2         5         7         6         2         8         1         2         2         3        10         2         1         6         9
Vardas364             Pavarde364                      5         9         4         5         9         2         7         2         8         3         2         8         8         3         3         9
Vardas365             Pavarde365                      9         7         6         6         2         5         8         8         8         1         1         1         1         3         1         1
Vardas366             Pavarde366                      3         1         3         7         2         2         6         6         8         3         2        10         3         9         7         3
Vardas367             Pavarde367                      1         4         1         5         1         4         5         2         2         1         6         3         1         3         4         1
Vardas368             Pavarde368                      1         8         5         5         6         4         6         1         8         6         3         4         8         7         3         6
Vardas369             Pavarde369                      4         2         2         1         7         1        10         8         4         3        10         4         6         5         9         2
Vardas370             Pavarde370                      5         8         6         9         7        10         4        10         4         1         7         5        10         9         3         1
Vardas371             Pavarde371                      8         5         9         6         5         4        10         7        10         5         2         4         3         2         6         2
Vardas372             Pavarde372                      5         2         8         9         8         6        10         2         5         1         1         7         1         8         2         2
Vardas373             Pavarde373                      4         6         3         6         8         9         2         8         2         6         3        10         8         1        10         4
Vardas374             Pavarde374                      7         5         3         4         5         7         4        10         7         8         5         6         3         7         6         1
Vardas375             Pavarde375                      1         4         2         4         7         3         5         5        10         4         2         7         8         1         8         4
Vardas376             Pavarde376                      8         1         6         7         4         7         7         1         8         8         8        10         2         2        10         6
Vardas377             Pavarde377                      4         3         7         3         1         9         2         4        10         1        10         7         7         1         6         9
Vardas378             Pavarde378                      4         5         9         2         5         5        10         2         9         4         7         9         8         7         8         3
Vardas379             Pavarde379                      3         4         9         1         5         6         1         2         7        10         3         6         4         1         4         1
Vardas380             Pavarde380                      5        10         9         7         8        10         6         1         5         6         6        10         9         4         5         2
Vardas381             Pavarde381                      3         3         6         1         4         7         7         3         9         6         7         8         7         6        10         4
Vardas382             Pavarde382                     10         2        10         3         5         9         6        10         1        10         7         5         8         1         6         3
Vardas383             Pavarde383                      4         8         8         1         1         3         7         6         9         9         8         7         3         7         7         5
Vardas384             Pavarde384                     10         5         1         3         3         4         5         6         4         6         4         5         3         3         1        10
Vardas385             Pavarde385                     10         3         4         3         2         7        10         6         7         5         4         7         9         6         3        10
Vardas386             Pavarde386                      3         2         3         6         8         7         6         4         9         3         1        10         9         2         8         3
Vardas387             Pavarde387                      2        10         9        10         8         7         9         1        10        10         5         9         7         5         3         8
Vardas388             Pavarde388                      4         9         8         7        10         7         8         9         7         5         4         8         6        10         9         1
Vardas389             Pavarde389                      6         8         5         9         5         6        10         4         5         1         5         3         2         8        10         3
Vardas390             Pavarde390                      8         8         4         6         2         5         3         8         8         8         2         7         9         1         5         4
Vardas391             Pavarde391                     10         1         3         4        10         4         5         6         1         4         8         5         1         9         6         4
Vardas392             Pavarde392                      7         1         2         5        10         4         9        10         6         5         6         4         2         4         8         6
Vardas393             Pavarde393                      4        10         7         2         4         6         7         9         6         4         2         1        10         7         8         3
Vardas394             Pavarde394                      8         3         4         7         6         3         6         1         4         1         5         8         7         7         6         1
Vardas395             Pavarde395                      1         6         4         7         5        10         6         6         5         3         9         1         4         9         6         4
Vardas396             Pavarde396                      9         6         9         7         1         1         8        10         7         2         8        10         5         4         3         3
Vardas397             Pavarde397                      7         8         2         5         5         9         8         9         5         9         8         4         9         4         8         4
Vardas398             Pavarde398                      2         2         2         9         6         2         9        10         1         6         1         1         9         3         3        10
Vardas399             Pavarde399                      9         3        10         5         6         5         8         5         1         1         1         1         9         2         5         7
Vardas400             Pavarde400                      5         8         1         3         3         3         9         8         4         8         5         8         3         5        10         1
Vardas401             Pavarde401                      1         9         6         1         5         5         8        10         9         5         4         6         7         8         9         6
Vardas402             Pavarde402                      4         4         1         8         4         4         4         9         4         3         3         1         2         8         3        10
Vardas403             Pavarde403                      2         5        10         8        10         4         3         7         3         7         3         1         4         3         3         1
Vardas404             Pavarde404                     10         3         5         8         2         9         7         8         5         8         8         7         1         5         8         9
Vardas405             Pavarde405                     10         5         5         4         9         7         7         3         9         6         8         3         5         7         8         3
Vardas406             Pavarde406                      5         7         4         4         1         5         1         7         3         5         3         9         4         5         6         2
Vardas407             Pavarde407                      1         6         1         7         1         1         1         5         6         6         9         7         7         5         1        10
Vardas408             Pavarde408                     10         6        10         6         7         5        10         5         9         6         3         4         8         4         3         3
Vardas409             Pavarde409                      9         9        10         2         5         2         5         7         7         5         8         1         4        10         2         1
Vardas410             Pavarde410                      9         7         7         9         3         1         1         3         3         6         5        10         9         8         8        10
Vardas411             Pavarde411                      4         8         3         8         1         9         5         3         3         5        10         7         3         5         4         7
Vardas412             Pavarde412                      6         3         1         3         3         5         4         4         7         5         7         3        10         6         7        10
Vardas413             Pavarde413                      8        10         8         5        10         3        10         2        10         9        10        10         1         3         1         7
Vardas414             Pavarde414                      9         5         9         3         4        10         8         3         5         6         1         5        10         4         9         3
Vardas415             Pavarde415                      1         5         3        10         6         3         9         3         3         2         5        10         9         1         5         2
Vardas416             Pavarde416                     10        10         3         5         5        10         8         6         6         7         2         1        10         3         2         5
Vardas417             Pavarde417                     10         9         9         9         5         8         3         2         8         2         2         1         4        10         8         6
Vardas418             Pavarde418                      1        10         9         5         3        10         8         2         8         5         3         8         9         5         8         2
Vardas419             Pavarde419                      9         1         6         7         8         7        10         8         6         4         2         6         4         1         8         6
Vardas420             Pavarde420                      7         9         1         8         1         3         1         6         2         7         9         7         9         5         6         8
Vardas421             Pavarde421                      9         3        10         5         4         5         9         1         4         7         5         7         3         4         7         8
Vardas422             Pavarde422                      2         6         6         1        10         9         9         2         8         3         7        10         3         3         5         1
Vardas423             Pavarde423                      2         5        10         2         2         1         3         2         7         4         2         1         8         7         9        10
Vardas424             Pavarde424                      4         2         3         9         7         1         8         6         8         2        10         9         1         4         6         2
Vardas425             Pavarde425                      1         8         1         2         3         1         6         4         5         4         7        10        10         5        10         6
Vardas426             Pavarde426                      8         3         2         4         3         8         7         7         4         2         8         8         8         2         8         2
Vardas427             Pavarde427                      9         8         3         1         1         9         8         9         2         5         4         9         3         7         6        10
Vardas428             Pavarde428                      2         3         3         8         5         4         7         3         3         6         4         8         7         6         8         1
Vardas429             Pavarde429                      7         4         8         6        10        10         9         1         1         9         8         3         9         5         8         1
Vardas430             Pavarde430                      9         2         1         1         7         4         9         9         4         5         3         3         1        10         9         6
Vardas431             Pavarde431                      3         4         2         5         1         4         1         2         5         1         1        10         1         2         6         7
Vardas432             Pavarde432                      2        10         8         5         5         2         8         2         6        10         9         4         8         2         5         3
Vardas433             Pavarde433                      2         7         5         6         9         7         5         6         1         2         7         7         8         8         3        10
Vardas434             Pavarde434                      2        10         2         7         3         1         8         7         6         4         9         3         7         5         3         1
Vardas435             Pavarde435                      1         9         9         1         7         2        10         2         2        10         3         1         7         8         2         7
Vardas436             Pavarde436                      7         9         6         6         6         1         9         2         4         8         2         1         5        10        10         7
Vardas437             Pavarde437                      7         4         8        10         4         7         2         8         1         2         7         4        10        10         7         7
Vardas438             Pavarde438                      2         4         3         9         2         8         3         4         9         8         7         8         5         3         8         4
Vardas439             Pavarde439                      5         6         8         9         6         6         4         2         2         2         2         1         8         6        10         5
Vardas440             Pavarde440                      3        10         7         8         6         7         8         7         4         7         6         9         9         8         5         6
Vardas441             Pavarde441                      2         9         1         5         2         4         6         8         2         9         8         6         5         4         3         8
Vardas442             Pavarde442                      7         6         1         6         7         1         3         2        10         3         8         1         4         4         4        10
Vardas443             Pavarde443                      7         7         5        10         6        10         2         2         8         9         8         2         5         2         6         2
Vardas444             Pavarde444                      3         1         7         6         6         6         5         1         8        10         3         8         3         5         6        10
Vardas445             Pavarde445                      1         5         8         6         9        10         9         5         5         7         5         2         3        10         5         1
Vardas446             Pavarde446                      6        10         9         6         1         2         7         2         8         7         9         1         4        10         5         4
Vardas447             Pavarde447                      3         8         9         2         1         5         8         6        10         8         8         5         5         3         1         4
Vardas448             Pavarde448                      6         3        10         5         9         7         9         6        10         2         4        10         9         9         1         5
Vardas449             Pavarde449                      8         2         2         9         6         9         6         8         9         8         4         8        10         8         5         4
Vardas450             Pavarde450                      4         4         1         8         6         9         5         1         1         8         8         4        10         2         7         9
Vardas451             Pavarde451                      1         9        10        10         6         2         2         6         7         5         4         6         2        10         5        10
